"caller","col1","callee"
"__ia32_sys_quotactl_fd","calls","__se_sys_quotactl_fd"
"__ia32_sys_quotactl_fd","calls","sys_ni_syscall"
"__x64_sys_quotactl_fd","calls","__se_sys_quotactl_fd"
"__x64_sys_quotactl_fd","calls","sys_ni_syscall"
"__x64_sys_quotactl_fd","calls","__se_sys_quotactl_fd"
"__x64_sys_quotactl_fd","calls","sys_ni_syscall"
"__ia32_sys_quotactl","calls","__se_sys_quotactl"
"__ia32_sys_quotactl","calls","sys_ni_syscall"
"__ia32_sys_quotactl","calls","__se_sys_quotactl"
"__ia32_sys_quotactl","calls","sys_ni_syscall"
"__x64_sys_quotactl","calls","__se_sys_quotactl"
"__x64_sys_quotactl","calls","sys_ni_syscall"
"__x64_sys_quotactl","calls","__se_sys_quotactl"
"__x64_sys_quotactl","calls","sys_ni_syscall"
"__ia32_sys_copy_file_range","calls","__se_sys_copy_file_range"
"__ia32_sys_copy_file_range","calls","sys_ni_syscall"
"__ia32_sys_copy_file_range","calls","__se_sys_copy_file_range"
"__ia32_sys_copy_file_range","calls","sys_ni_syscall"
"__x64_sys_copy_file_range","calls","__se_sys_copy_file_range"
"__x64_sys_copy_file_range","calls","sys_ni_syscall"
"__x64_sys_copy_file_range","calls","__se_sys_copy_file_range"
"__x64_sys_copy_file_range","calls","sys_ni_syscall"
"__ia32_compat_sys_signalfd","calls","__se_compat_sys_signalfd"
"__ia32_compat_sys_signalfd","calls","sys_ni_syscall"
"__ia32_compat_sys_signalfd","calls","__se_compat_sys_signalfd"
"__ia32_compat_sys_signalfd","calls","sys_ni_syscall"
"__ia32_compat_sys_signalfd4","calls","__se_compat_sys_signalfd4"
"__ia32_compat_sys_signalfd4","calls","sys_ni_syscall"
"__ia32_compat_sys_signalfd4","calls","__se_compat_sys_signalfd4"
"__ia32_compat_sys_signalfd4","calls","sys_ni_syscall"
"__ia32_sys_signalfd","calls","__se_sys_signalfd"
"__ia32_sys_signalfd","calls","sys_ni_syscall"
"__ia32_sys_signalfd","calls","__se_sys_signalfd"
"__ia32_sys_signalfd","calls","sys_ni_syscall"
"__x64_sys_signalfd","calls","__se_sys_signalfd"
"__x64_sys_signalfd","calls","sys_ni_syscall"
"__x64_sys_signalfd","calls","__se_sys_signalfd"
"__x64_sys_signalfd","calls","sys_ni_syscall"
"__ia32_sys_signalfd4","calls","__se_sys_signalfd4"
"__ia32_sys_signalfd4","calls","sys_ni_syscall"
"__ia32_sys_signalfd4","calls","__se_sys_signalfd4"
"__ia32_sys_signalfd4","calls","sys_ni_syscall"
"__x64_sys_signalfd4","calls","__se_sys_signalfd4"
"__x64_sys_signalfd4","calls","sys_ni_syscall"
"__x64_sys_signalfd4","calls","__se_sys_signalfd4"
"__x64_sys_signalfd4","calls","sys_ni_syscall"
